network,avg_price,min_price,max_price,stores
CORA,10.3,10.3,10.3,5
SELGROS,10.33,10.33,10.33,3
AUCHAN,10.49,10.49,10.49,1
MEGA IMAGE SRL,11.2,10.99,13.43,45
PROFI,11.29,11.29,11.29,12

network,price_date,avg_price
CORA,15.04.2026 04:00,10.3
MEGA IMAGE SRL,15.04.2026 04:00,10.99
SELGROS,15.04.2026 04:00,10.33
AUCHAN,15.04.2026 20:00,10.49
CORA,15.04.2026 20:00,10.3
MEGA IMAGE SRL,15.04.2026 20:00,11.06
PROFI,15.04.2026 20:00,11.29
SELGROS,15.04.2026 20:00,10.33
CORA,16.04.2026 04:00,10.3
MEGA IMAGE SRL,16.04.2026 04:00,10.99
SELGROS,16.04.2026 04:00,10.33
CORA,16.04.2026 20:00,10.3
MEGA IMAGE SRL,16.04.2026 20:00,10.99
SELGROS,16.04.2026 20:00,10.33
AUCHAN,17.04.2026 04:00,10.49
CORA,17.04.2026 04:00,10.3
MEGA IMAGE SRL,17.04.2026 04:00,11.2
PROFI,17.04.2026 04:00,11.29
SELGROS,17.04.2026 04:00,10.33
