network,avg_price,min_price,max_price,stores
KAUFLAND,2.69,2.69,2.69,168
PENNY,4.19,4.19,4.19,1
SELGROS,6.79,6.79,6.79,15
AUCHAN,8.59,8.59,8.59,2

network,price_date,avg_price
KAUFLAND,13.04.2026 20:00,5.49
SELGROS,13.04.2026 20:00,6.79
KAUFLAND,15.04.2026 04:00,5.49
AUCHAN,15.04.2026 20:00,8.59
KAUFLAND,15.04.2026 20:00,2.69
SELGROS,15.04.2026 20:00,6.79
KAUFLAND,16.04.2026 04:00,2.69
KAUFLAND,16.04.2026 20:00,2.69
SELGROS,16.04.2026 20:00,6.79
AUCHAN,17.04.2026 04:00,8.59
KAUFLAND,17.04.2026 04:00,2.69
PENNY,17.04.2026 04:00,4.19
SELGROS,17.04.2026 04:00,6.79
